##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
417NAME;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;Order restored in Alsace-Lorraine;x
417DESC;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;Thanks to our ruthless tactics we brought an early end to the tense situation in Gau Westmark.;x
418DESC;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;With our subtle policy it took some time to deal with deserters and anarchy in Alsace-Lorraine, but at leas it was a smooth operation!;x
419NAME;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;Anti-insurgency campaign succesful!;x
419DESC;…;…;…;…;…;…;…;…;…;…;x
420NAME;Southern provinces pacified;Southern provinces pacified;Southern provinces pacified;Southern provinces pacified;Southern provinces pacified;Southern provinces pacified;Southern provinces pacified;Southern provinces pacified;Southern provinces pacified;Southern provinces pacified;x
420DESC;…;…;…;…;…;…;…;…;…;…;x
421NAME;Jutland pacified;Jutland pacified;Jutland pacified;Jutland pacified;Jutland pacified;Jutland pacified;Jutland pacified;Jutland pacified;Jutland pacified;Jutland pacified;x
421DESC;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;The Jutland peninsula has been cleared from all resistance. It is now a fully integrated part of the Greater Germanic Reich!;x
422NAME;Denmark integrated;Denmark integrated;Denmark integrated;Denmark integrated;Denmark integrated;Denmark integrated;Denmark integrated;Denmark integrated;Denmark integrated;Denmark integrated;x
422DESC;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;Copenhagen has become a new city within our Germanic empire. We embrace our Nordic countrymen is one of our own! Of course, some Danes would still prefer independence.;x
423NAME;Gleichschaltung of Flanders;Gleichschaltung of Flanders;Gleichschaltung of Flanders;Gleichschaltung of Flanders;Gleichschaltung of Flanders;Gleichschaltung of Flanders;Gleichschaltung of Flanders;Gleichschaltung of Flanders;Gleichschaltung of Flanders;Gleichschaltung of Flanders;x
423DESC;….;….;….;….;….;….;….;….;….;….;x
424NAME;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;Gleichschaltung of French Flanders;x
424DESC;…;…;…;…;…;…;…;…;…;…;x
425NAME;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;Gleichschaltung of Wallonia;x
425DESC;…;…;…;…;…;…;…;…;…;…;x
426NAME;Pacification of Norway;Pacification of Norway;Pacification of Norway;Pacification of Norway;Pacification of Norway;Pacification of Norway;Pacification of Norway;Pacification of Norway;Pacification of Norway;Pacification of Norway;x
426DESC;….;….;….;….;….;….;….;….;….;….;x
427NAME;Road sign incident;Road sign incident;Road sign incident;Road sign incident;Road sign incident;Road sign incident;Road sign incident;Road sign incident;Road sign incident;Road sign incident;x
427DESC;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;A German army unit in Nancy came under attack as they tried to replace French road signs for German ones. Naturally they returned fire which in turn escalated in a major firefight with resistance fighters. It seems our plans for annexation of French territory isn't going as smoothly as we thought, and the military intelligence even suspects the Vichy regime of silently supporting these terrorists!;x
428NAME;Unrest spreads to Northern France;Unrest spreads to Northern France;Unrest spreads to Northern France;Unrest spreads to Northern France;Unrest spreads to Northern France;Unrest spreads to Northern France;Unrest spreads to Northern France;Unrest spreads to Northern France;Unrest spreads to Northern France;Unrest spreads to Northern France;x
428DESC;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;What started as a minor incident in Nancy now seems as a desparate attempt of Communist terrorists in many areas of northern France. We must crush them immediately!;x
429NAME;The Jutland peninsula.;The Jutland peninsula.;The Jutland peninsula.;The Jutland peninsula.;The Jutland peninsula.;The Jutland peninsula.;The Jutland peninsula.;The Jutland peninsula.;The Jutland peninsula.;The Jutland peninsula.;x
429DESC;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;The Jutland peninsula has been under military control ever since the Danish surrender of 1940. What shall we do with this piece of land, remember the peninsula is important for the protection of the Baltic Sea. The southern portions of Jutland are already an official part of Germany.;x
429A;Return it to Denmark;Return it to Denmark;Return it to Denmark;Return it to Denmark;Return it to Denmark;Return it to Denmark;Return it to Denmark;Return it to Denmark;Return it to Denmark;Return it to Denmark;x
429B;Give it to Scandinavia;Give it to Scandinavia;Give it to Scandinavia;Give it to Scandinavia;Give it to Scandinavia;Give it to Scandinavia;Give it to Scandinavia;Give it to Scandinavia;Give it to Scandinavia;Give it to Scandinavia;x
429C;We claim Jutland for Germany!;We claim Jutland for Germany!;We claim Jutland for Germany!;We claim Jutland for Germany!;We claim Jutland for Germany!;We claim Jutland for Germany!;We claim Jutland for Germany!;We claim Jutland for Germany!;We claim Jutland for Germany!;We claim Jutland for Germany!;x
430NAME;Gau Westland;Gau Westland;Gau Westland;Gau Westland;Gau Westland;Gau Westland;Gau Westland;Gau Westland;Gau Westland;Gau Westland;x
430DESC;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;Ever since may 1940 the Netherlands was under a civilian occupation administration. Today we celebrate the first steps of full integration of these territories into the Greater Germanic Empire!;x
431NAME;Gau Westland integrated!;Gau Westland integrated!;Gau Westland integrated!;Gau Westland integrated!;Gau Westland integrated!;Gau Westland integrated!;Gau Westland integrated!;Gau Westland integrated!;Gau Westland integrated!;Gau Westland integrated!;x
431DESC;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;Gau Westland has become a true province of Germany!;x
432NAME;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;Reichsgau Flandern annexed!;x
432DESC;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;The region of Flanders will today be incorporated as a province of Germany. Not all the Flemish are happy about this, so we expect some resistance to the territorial changes.;x
433NAME;Flemish independence!;Flemish independence!;Flemish independence!;Flemish independence!;Flemish independence!;Flemish independence!;Flemish independence!;Flemish independence!;Flemish independence!;Flemish independence!;x
433DESC;…;…;…;…;…;…;…;…;…;…;x
434NAME;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;Reichsgau Flandern integrated!;x
434DESC;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;Today we celebrate the full integration of the region of Flanders into Germany! Our Flemish kindred our now true Germanic citizens!;x
435NAME;District Brussels annexed!;District Brussels annexed!;District Brussels annexed!;District Brussels annexed!;District Brussels annexed!;District Brussels annexed!;District Brussels annexed!;District Brussels annexed!;District Brussels annexed!;District Brussels annexed!;x
435DESC;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;Today is a glorious day. District Brussels is now a German province. We expect some dissent and resistance to this administrative reorganization, but it will be worth the cost!;x
436NAME;Brussels transferred to Germany;Brussels transferred to Germany;Brussels transferred to Germany;Brussels transferred to Germany;Brussels transferred to Germany;Brussels transferred to Germany;Brussels transferred to Germany;Brussels transferred to Germany;Brussels transferred to Germany;Brussels transferred to Germany;x
436DESC;…;…;…;…;…;…;…;…;…;…;x
437NAME;District Brussels integrated;District Brussels integrated;District Brussels integrated;District Brussels integrated;District Brussels integrated;District Brussels integrated;District Brussels integrated;District Brussels integrated;District Brussels integrated;District Brussels integrated;x
437DESC;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;Today the District of Brussels is fully integrated into Germany. Our integration process in the West is unstoppable!;x
438NAME;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;End of Reichskommissariat Norwegen;x
438DESC;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;Today Germany has established Norway as a province of Germany. We must be very cautious though, the British are doing everything to keep the resistance in Norway alive. In order for our efforts to be succesful, we must thwart the British attempts!;x
439NAME;Integration of Norway;Integration of Norway;Integration of Norway;Integration of Norway;Integration of Norway;Integration of Norway;Integration of Norway;Integration of Norway;Integration of Norway;Integration of Norway;x
439DESC;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;The Greater Germanic Empire now extends to the Arctic, perhaps it is time for us to rule the Antarctic as well!;x
440NAME;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;Annexation of Reichsgau Wallonien!;x
